ModelName,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25
Boosting,0.015197,0.01439,0.016119,0.014505,0.015479,0.017704,0.014157,0.014799,0.014509,0.015237,0.017488,0.014791,0.014248,0.015108,0.014576,0.014616,0.014633,0.014988,0.017299,0.014565,0.017902,0.0145419999999,0.014391,0.014419,0.014958
DecisionTree,0.000704000000042,0.000698,0.000728999999978,0.000726000000043,0.00115499999998,0.000960000000021,0.000760999999954,0.000717000000009,0.000819000000035,0.000774999999976,0.000726999999983,0.000771999999984,0.000778000000025,0.000702999999987,0.00070199999999,0.000990999999999,0.000730000000033,0.000721999999996,0.000727999999981,0.000818999999979,0.000702999999987,0.000702999999987,0.000703999999985,0.000824000000023,0.000940999999955
k-NN,0.080449,0.076741,0.072703,0.074101,0.077778,0.074601,0.074639,0.079258,0.074254,0.074228,0.078504,0.078831,0.076025,0.079873,0.079031,0.07353,0.082032,0.088135,0.080525,0.075531,0.079732,0.080668,0.072225,0.073201,0.077679
LogisticRegression,0.000687999999968,0.000658999999985,0.000689000000023,0.000696000000005,0.000684999999976,0.000629000000004,0.000688000000025,0.000873000000013,0.00061599999998,0.000830000000008,0.000689000000023,0.000642999999968,0.000672000000009,0.00068200000004,0.00084099999998,0.000750000000039,0.000687000000028,0.000759000000016,0.000858999999991,0.000622999999962,0.000726999999983,0.000819999999976,0.00079599999998,0.000709000000029,0.00069400000001
NaiveBayes,0.00162599999999,0.00145099999997,0.00146699999999,0.00178199999999,0.00145999999995,0.00145600000002,0.00144699999998,0.00153499999999,0.00145000000003,0.00144299999999,0.00165299999998,0.00157000000002,0.00145199999997,0.00147099999998,0.00159600000001,0.00153599999999,0.00156299999998,0.00146000000001,0.00149899999997,0.00146000000001,0.001441,0.00146899999999,0.00144900000004,0.00147700000002,0.00144999999998
NeuralNet,0.00332800000001,0.00256899999999,0.002703,0.00233300000002,0.00204099999996,0.00206300000002,0.00197500000002,0.00190400000002,0.00205,0.00199700000002,0.00195599999995,0.00227799999999,0.00210400000003,0.00211499999995,0.00212900000002,0.00193400000001,0.00190800000001,0.00207599999999,0.00218000000001,0.00224899999995,0.00194999999997,0.00221800000008,0.002072,0.00179899999989,0.00227099999995
RandomForest,0.051232,0.0510519999999,0.056384,0.054467,0.051859,0.052351,0.055648,0.059106,0.056074,0.056691,0.0546399999999,0.055347,0.052547,0.051575,0.060095,0.058556,0.0569780000001,0.055516,0.051872,0.055206,0.0582539999999,0.054309,0.0523820000001,0.062726,0.0518689999999
SVM,0.079845,0.080417,0.0811950000001,0.07714,0.080382,0.0772559999999,0.085521,0.084074,0.0855309999999,0.077964,0.082812,0.0822380000001,0.076892,0.082034,0.076778,0.0767189999999,0.0864270000001,0.0798159999999,0.078532,0.077435,0.086859,0.086639,0.082448,0.08052,0.0783680000001
